section,offering,utensil,material,count,number,quantity,measurement,type of substance,position,occasion,personnel ,deity,Day,Month,MonthName,frequency tag,decorations,text,additional
5,sibtu loaf,,,1,8,,,flour,,rabu morning,baker,Anu,365,12,,every day entire year,,TU 38,
5,barley flour,puru,,1,1,486,litre,flour,,4 meals,miller,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,quantity given 3 different ways
5,emmer flour,puru,,1,1,162,litre,flour,,4 meals,miller,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,540 litre total
5,red cake,basket for muttaqu cakes,reed,1,"plural, unspecified",,,confection,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,takkasu cake,basket for makutu cakes,reed,,"plural, unspecified",,,confection,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,kubbushu cake,,,,"plural, unspecified",,,confection,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,kusipu loaves,kalakku container,,1,1200,,,bread,under the choice dates and Dilmun dates,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included""; baked in oil (check)"
5,choice dates,,,,"plural, unspecified",,,fruit,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,Dilmun dates,,,,"plural, unspecified",,,fruit,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,pressed oil,,,,1,,,oil,,offerings of the king,,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,mashatu flour,masappu baskets,,,1,,,flour,,offerings of the king,miller; temple enterer,Anu; Antu; the other gods,,,,,,TU 38,"""not included"""
5,sibtu loaf,,,1,12,,,bread,seat of Anu and the household god of the cella of Antu,4 meals,baker,seat of Anu; the household gods of the cella of Anu,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,16,,,bread,ziggurat and household god of ziggurat,4 meals,baker,household gods of the ziggurat,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,30,,,bread,,4 meals,baker,Ishtar,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,30,,,bread,,4 meals,baker,Nanaya,365,12,,every day entire year,,TU 38,
5,sibtu loaf,,,1,75,,,bread,their temples,4 meals,,the other gods residing in Uruk,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,brazier ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,brazier ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,clothing ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,clothing ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,esheshu ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,esheshu ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,guqqu offering,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,guqqu offering,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,holy water basin ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,holy water basin ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,night vigil ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,night vigil ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,offering of the karibus,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,offerings of the karibus,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,opening of the gate ceremony,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,opening of the gate ceremony,,,,,,,,TU 38,"""not included"""
5,large loaf,,,1,"plural, unspecified",,,bread,,procession of the gods,,,,,,,,TU 38,"""not included;"" for the travel provisions of the gods"
5,date cake,,,1,"plural, unspecified",,,confection,,procession of the gods,,,,,,,,TU 38,"""not included;"" for the travel provisions of the gods"
5,large loaf,,,1,"plural, unspecified",,,bread,,rites of divine marriage,,,,,,,,TU 38,"""not included"""
5,date cake,,,1,"plural, unspecified",,,confection,,rites of divine marriage,,,,,,,,TU 38,"""not included"""
6,choice dates,,,1,"plural, unspecified",648,litre,fruit,,4 meals,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,quantity may not be distributive
6,Dilmun dates,,,1,"plural, unspecified",648,litre ,fruit,,4 meals,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
6,figs,,,1,"plural, unspecified",648,litre,fruit,,4 meals,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
6,raisins,,,1,"plural, unspecified",648,litre,fruit,,4 meals,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
6,hissasatu cakes,,,1,"plural, unspecified",,,confection,,4 meals,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
7,first-quality sheep,,,1,7,,,livestock,,rabu morning,butcher,Anu; Antu; the other gods,365,12,,first Nisannu through thirtieth Adaru,,TU 38,fed barley for 2 years
7,kalu sheep,,,1,1,,,livestock,,rabu morning,butcher,Anu; Antu; the other gods,365,12,,first Nisannu through thirtieth Adaru,,TU 38,fattened with milk
7,full-grown ox,,,1,1,,,livestock,,rabu morning,butcher,Anu; Antu; the other gods,365,12,,first Nisannu through thirtieth Adaru,,TU 38,
7,suckling calf,,,1,1,,,livestock,,rabu morning,butcher,Anu; Antu; the other gods,365,12,,first Nisannu through thirtieth Adaru,,TU 38,
7,lesser quality sheep,,,1,10,,,livestock,,rabu morning,butcher,Anu; Antu; the other gods,365,12,,first Nisannu through thirtieth Adaru,,TU 38,
10,fat pure sheep,,,1,6,,,livestock,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,fed barley for 2 years
10,kalu sheep,,,1,1,,,livestock,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,fattened with milk
10,lesser quality sheep,,,1,5,,,livestock,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
10,full-grown ox,,,1,1,,,livestock,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
10,lambs,,,1,8,,,livestock,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
10,ducks,,,1,5,,,bird,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,fed dough
10,lesser quality ducks,,,1,2,,,bird,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
10,geese,,,1,3,,,bird,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,fed dough
10,dormice,,,1,4,,,small animal,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
10,marratu birds,,,1,30,,,bird,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
10,turtledoves,,,1,20,,,bird,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
10,ostrich eggs,,,1,3,,,egg,,tardennu morning,priest,Anu; Antu; the other gods,365,12,,every day entire year,,TU 38,
